"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Side","Deck"
"No","first","male",29,0,0,30,"Southampton","Mr.","Larboard","D"
"No","third","male",32,1,2,23.45,"Southampton","Mr.",NA,NA
"No","third","male",25,0,0,7.05,"Southampton","Mr.",NA,NA
"No","third","male",25,0,0,7.25,"Southampton","Mr.",NA,NA
"Yes","third","female",18,0,0,7.4958,"Southampton","Miss",NA,NA
"No","third","male",8,4,1,29.125,"Queenstown","Master.",NA,NA
"Yes","third","male",1,1,2,20.575,"Southampton","Master.",NA,NA
"No","first","male",46,0,0,79.2,"Cherbourg","Mr.","Larboard","B"
"No","third","male",32,0,0,7.75,"Queenstown","Mr.",NA,NA
"No","second","male",16,0,0,26,"Southampton","Mr.",NA,NA
"No","third","female",21,8,2,69.55,"Southampton","Miss",NA,NA
"No","first","male",32,0,0,30.6958,"Cherbourg","Mr.",NA,NA
"No","third","male",25,0,0,7.8958,"Southampton","Mr.",NA,NA
"No","second","male",39,0,0,13,"Southampton","Mr.",NA,NA
"Yes","first","female",49,0,0,25.9292,"Southampton","Dr.","Starboard","D"
"Yes","third","female",31,0,0,8.6833,"Southampton","Mrs.",NA,NA
"No","third","male",30,0,0,7.2292,"Cherbourg","Mr.",NA,NA
"No","third","female",30,1,1,24.15,"Southampton","Mrs.",NA,NA
"No","second","male",34,0,0,13,"Southampton","Mr.",NA,NA
"Yes","second","female",31,1,1,26.25,"Southampton","Mrs.",NA,NA
"Yes","first","male",11,1,2,120,"Southampton","Master.","Larboard","B"
"Yes","third","male",0.42,0,1,8.5167,"Cherbourg","Master.",NA,NA
"Yes","third","male",27,0,0,6.975,"Southampton","Mr.",NA,NA
"No","third","male",31,0,0,7.775,"Southampton","Mr.",NA,NA
"No","first","male",39,0,0,0,"Southampton","Mr.","Larboard","A"
"No","third","female",18,0,0,7.775,"Southampton","Miss",NA,NA
"No","second","male",39,0,0,13,"Southampton","Mr.",NA,NA
"Yes","first","female",33,1,0,53.1,"Southampton","Mrs.","Larboard","E"
"No","third","male",26,0,0,7.8875,"Southampton","Mr.",NA,NA
"No","third","male",39,0,0,24.15,"Southampton","Mr.",NA,NA
"No","second","male",35,0,0,10.5,"Southampton","Mr.",NA,NA
"No","third","female",6,4,2,31.275,"Southampton","Miss",NA,NA
"No","third","male",30.5,0,0,8.05,"Southampton","Mr.",NA,NA
"No","first","male",32,0,0,0,"Southampton","Mr.","Larboard","B"
"No","third","female",23,0,0,7.925,"Southampton","Miss",NA,NA
"No","second","male",31,1,1,37.0042,"Cherbourg","Mr.",NA,NA
"No","third","male",43,0,0,6.45,"Southampton","Mr.",NA,NA
"No","third","male",10,3,2,27.9,"Southampton","Master.",NA,NA
"Yes","first","female",52,1,1,93.5,"Southampton","Mrs.","Starboard","B"
"Yes","third","male",27,0,0,8.6625,"Southampton","Mr.",NA,NA
"No","first","male",38,0,0,0,"Southampton","Jonkheer.",NA,NA
"Yes","third","female",27,0,1,12.475,"Southampton","Mrs.","Starboard","E"
"No","third","male",2,4,1,39.6875,"Southampton","Master.",NA,NA
"No","third","male",32,0,0,6.95,"Queenstown","Mr.",NA,NA
"No","third","male",32,0,0,56.4958,"Southampton","Mr.",NA,NA
"Yes","second","male",1,0,2,37.0042,"Cherbourg","Master.",NA,NA
"Yes","third","male",32,0,0,7.75,"Queenstown","Mr.",NA,NA
"Yes","first","female",62,0,0,80,NA,"Mrs.","Larboard","B"
"Yes","third","female",15,1,0,14.4542,"Cherbourg","Mrs.",NA,NA
"Yes","second","male",0.83,1,1,18.75,"Southampton","Master.",NA,NA
"No","third","male",32,0,0,7.2292,"Cherbourg","Mr.",NA,NA
"No","third","male",23,0,0,7.8542,"Southampton","Mr.",NA,NA
"No","third","male",18,0,0,8.3,"Southampton","Mr.",NA,NA
"Yes","first","female",39,1,1,83.1583,"Cherbourg","Miss","Starboard","E"
"No","third","male",21,0,0,8.6625,"Southampton","Mr.",NA,NA
"No","third","male",32,0,0,8.05,"Southampton","Mr.",NA,NA
"Yes","third","male",32,0,0,56.4958,"Southampton","Mr.",NA,NA
"Yes","first","male",32,0,0,29.7,"Cherbourg","Mr.","Starboard","C"
"No","third","male",20,0,0,7.925,"Southampton","Mr.",NA,NA
"No","second","male",16,0,0,10.5,"Southampton","Mr.",NA,NA
"Yes","first","female",30,0,0,31,"Cherbourg","Miss",NA,NA
"No","third","male",34.5,0,0,6.4375,"Cherbourg","Mr.",NA,NA
"No","third","male",17,0,0,8.6625,"Southampton","Mr.",NA,NA
"No","third","male",42,0,0,7.55,"Southampton","Mr.",NA,NA
"No","third","male",32,8,2,69.55,"Southampton","Mr.",NA,NA
"No","third","male",35,0,0,7.8958,"Cherbourg","Mr.",NA,NA
"No","second","male",28,0,1,33,"Southampton","Rev.",NA,NA
"Yes","first","female",35,1,0,89.1042,"Cherbourg","Mrs.","Larboard","C"
"No","third","male",4,4,2,31.275,"Southampton","Master.",NA,NA
"No","third","male",74,0,0,7.775,"Southampton","Mr.",NA,NA
"No","third","female",9,1,1,15.2458,"Cherbourg","Miss",NA,NA
"Yes","first","female",16,0,1,39.4,"Southampton","Miss","Larboard","D"
"No","second","female",44,1,0,26,"Southampton","Mrs.",NA,NA
"Yes","third","female",18,0,1,9.35,"Southampton","Mrs.",NA,NA
"Yes","first","female",45,1,1,164.8667,"Southampton","Mrs.",NA,NA
"Yes","first","male",51,0,0,26.55,"Southampton","Mr.","Starboard","E"
"Yes","third","female",24,0,3,19.2583,"Cherbourg","Mrs.",NA,NA
"No","third","male",32,0,0,7.2292,"Cherbourg","Mr.",NA,NA
"No","third","male",41,2,0,14.1083,"Southampton","Mr.",NA,NA
"No","second","male",21,1,0,11.5,"Southampton","Mr.",NA,NA
"Yes","first","female",48,0,0,25.9292,"Southampton","Mrs.","Starboard","D"
"No","third","female",21,8,2,69.55,"Southampton","Miss",NA,NA
"No","second","male",24,0,0,13,"Southampton","Mr.",NA,NA
"Yes","second","female",42,0,0,13,"Southampton","Mrs.",NA,NA
"Yes","second","female",27,1,0,13.8583,"Cherbourg","Miss",NA,NA
"No","first","male",31,0,0,50.4958,"Southampton","Mr.","Larboard","A"
"No","third","male",32,0,0,9.5,"Southampton","Mr.",NA,NA
"Yes","third","male",4,1,1,11.1333,"Southampton","Master.",NA,NA
"No","third","male",26,0,0,7.8958,"Southampton","Mr.",NA,NA
"Yes","first","female",47,1,1,52.5542,"Southampton","Mrs.","Starboard","D"
"No","first","male",33,0,0,5,"Southampton","Mr.","Starboard","B"
"No","third","male",47,0,0,9,"Southampton","Mr.",NA,NA
"Yes","second","female",28,1,0,24,"Cherbourg","Mrs.",NA,NA
"Yes","third","female",15,0,0,7.225,"Cherbourg","Miss",NA,NA
"No","third","male",20,0,0,9.8458,"Southampton","Mr.",NA,NA
"No","third","male",19,0,0,7.8958,"Southampton","Mr.",NA,NA
"No","third","male",32,0,0,7.8958,"Southampton","Mr.",NA,NA
"Yes","first","female",56,0,1,83.1583,"Cherbourg","Mrs.","Larboard","C"
"Yes","second","female",25,0,1,26,"Southampton","Mrs.",NA,NA
"No","third","male",33,0,0,7.8958,"Southampton","Mr.",NA,NA
"No","third","female",22,0,0,10.5167,"Southampton","Miss",NA,NA
"No","second","male",28,0,0,10.5,"Southampton","Mr.",NA,NA
"No","third","male",25,0,0,7.05,"Southampton","Mr.",NA,NA
"No","third","female",39,0,5,29.125,"Queenstown","Mrs.",NA,NA
"No","second","male",27,0,0,13,"Southampton","Rev.",NA,NA
"Yes","first","female",19,0,0,30,"Southampton","Miss","Larboard","B"
"No","third","female",21,1,2,23.45,"Southampton","Miss",NA,NA
"Yes","first","male",26,0,0,30,"Cherbourg","Mr.","Larboard","C"
"No","third","male",32,0,0,7.75,"Queenstown","Mr.",NA,NA
